"year","m","pc1","pc2"
1949,2,-2.27870890770361,1.74241481851432
1949,3,-1.35963238405075,1.03339951580769
1949,4,-1.10661866270783,0.756930506810834
1950,2,-1.16186016797201,1.63640815958034
1950,3,-0.989481885330472,1.3118719189412
1950,4,-1.01270937605613,0.709093095026763
1951,2,-0.624600072226964,0.320432490122574
1951,3,-0.95581966863584,0.224358434492404
1951,4,-0.738384648194886,0.254348825590457
1952,2,-0.722524406346073,0.288438811669082
1952,3,-1.2154353082002,1.35659373688326
1952,4,-1.29893469374125,0.328772493604823
1953,2,-0.335428205416453,-0.961082549645456
1953,3,-0.787693815162719,-0.759719313294613
1953,4,-0.538073730544466,-0.844018193744365
1954,2,-0.195981566520948,-0.388505958227358
1954,3,-0.281727527348554,-0.227536043156856
1954,4,-0.0993261056662223,0.574356855570531
1955,2,-0.379318257061212,-0.638913228399796
1955,3,-0.471524837011641,0.318776236456907
1955,4,-1.02524475272073,0.454057159849676
1956,2,-1.11806253128463,1.11905053463522
1956,3,-1.73377987425401,1.10828375707789
1956,4,-1.20414194484451,1.05356413900704
1957,2,-0.696327852766441,2.48064252034231
1957,3,-0.00774078601752711,2.32867530616973
1957,4,0.153659011203583,1.81794016267764
1958,2,1.60055313402716,0.202950317221327
1958,3,1.38093367722385,0.502875207766718
1958,4,1.17466999331045,-0.237995042056011
1959,2,1.20020057940894,0.388327328311566
1959,3,0.669722781675827,0.375651333459335
1959,4,0.906368654662696,0.762927527081421
1960,2,0.85142775100271,-0.972867672486412
1960,3,0.692510625645945,-0.724979865937769
1960,4,0.735804240049796,-0.613212309792772
1961,2,0.807214135252454,-1.61067114597865
1961,3,0.502573624495764,-1.78049789057557
1961,4,0.685542944377254,-0.744530726774288
1962,2,-0.17999969268266,1.34938108832654
1962,3,-0.388669198491233,0.98595635867735
1962,4,-0.0451497261929694,0.848497269345217
1963,2,0.974042304722715,2.19718181940091
1963,3,0.358960035192108,1.48089580836116
1963,4,0.487885161014937,1.90429300768526
1964,2,0.193758501776085,-0.611736957890105
1964,3,-0.524108303742399,-0.132163190934259
1964,4,-0.6318373611366,0.331841008695745
1965,2,-0.452252326323135,0.593870573526324
1965,3,0.0449667312544753,1.0756675209597
1965,4,0.106817776810706,1.41039498965892
1966,2,-0.2293425996713,-0.567647737886948
1966,3,-0.345702069690155,-0.230330926804115
1966,4,0.104762093098955,0.496987734576648
1967,2,-0.274085965631051,-0.527964510585237
1967,3,-0.274398144812893,0.637311076453223
1967,4,-0.555768684562905,0.678361342662081
1968,2,0.0873368529092594,1.40703053868095
1968,3,0.59402468211276,1.28287644823942
1968,4,0.136742045654864,1.29860110603158
1969,2,-0.528695873761658,0.18128749395221
1969,3,-0.791802772478268,-0.434819524414337
1969,4,-0.652003404555411,-0.475879987221152
1970,2,1.08517228915805,-1.04049130355798
1970,3,1.07258874209492,-0.973759587557928
1970,4,0.22680570123194,-0.616607476165867
1971,2,-1.0018881838049,0.892094892787997
1971,3,-1.2023443150681,0.461370193607379
1971,4,-1.26543963272828,0.0646033101846902
1972,2,-1.49525765442754,0.769392025793431
1972,3,-0.834116302452072,1.43153997677847
1972,4,-0.75788279559112,1.84576210306302
1973,2,0.105023529028513,0.0187687565303617
1973,3,-0.320762717697402,-0.0741461224007292
1973,4,-0.506685380087041,-0.24903071979836
1974,2,-1.08949879787305,0.64832110614286
1974,3,-0.944888153830161,0.631125057322871
1974,4,-0.361043582265683,0.33855146177041
1975,2,-0.837851542985471,-0.511827039718309
1975,3,-0.943504112634779,-0.683650566849096
1975,4,-1.38869020148404,-0.161026545334927
1976,2,-0.829735908417728,-0.00491517080577715
1976,3,-1.05097062673505,-0.192068355973473
1976,4,-1.23658657232364,-0.741382444089582
1977,2,1.43092636580684,-0.684116594659655
1977,3,0.569874797941322,-1.07399424273379
1977,4,0.0278470997737075,-0.661950590885386
1978,2,1.07074614601864,-0.651984645127582
1978,3,1.39891971121517,-0.594283332387771
1978,4,1.11918015398173,-0.361784837297825
1979,2,-0.509518788116691,0.14825551223015
1979,3,-0.0413494612179001,-0.00470735056826926
1979,4,0.277456615144886,0.425474332737589
1980,2,1.34213110560368,0.77017552902724
1980,3,1.15502758489146,0.234845764483509
1980,4,1.09877697325958,-0.671937874554777
1981,2,1.47197707459026,-0.0184293691611112
1981,3,1.46190746243307,-0.682152356463954
1981,4,1.20132825977495,-1.06058489171153
1982,2,0.219973845295766,0.909496884696914
1982,3,0.259803065872432,0.740097030476991
1982,4,-0.0943708893770367,0.970497045561687
1983,2,1.40101788728469,-0.499841263548296
1983,3,2.1091976833906,-0.546351626709932
1983,4,1.90326716717375,-1.0473773350492
1984,2,0.886013531997074,-0.102019299898394
1984,3,1.23374730655566,-0.238857095241075
1984,4,0.684283296294518,-0.689185162309619
1985,2,0.481871736257423,0.469483486299237
1985,3,-0.205539203722913,0.0816564406439488
1985,4,-0.239738800966282,-0.11314530192341
1986,2,1.45838227607997,-0.0529148925273459
1986,3,1.78487404918218,0.377337977028128
1986,4,1.12678086519865,0.164580579854185
1987,2,1.48175216032248,-1.40889563594399
1987,3,1.45801743281512,-0.97010077991006
1987,4,1.47387216973811,-1.42182263414688
1988,2,0.57904881918621,-1.77826506305194
1988,3,0.448686749050299,-1.83855652916882
1988,4,0.356163391341669,-1.79980909510359
1989,2,-1.24693270069218,-0.045085678072506
1989,3,-0.808804038729704,0.0713443587505633
1989,4,0.141533868298875,-0.0446679560089354
1990,2,-0.719814684298138,0.0903415787179445
1990,3,-0.339217452046501,0.307950887632841
1990,4,0.616451619689342,0.718165557028509
1991,2,0.0915153957461028,2.46495107477886
1991,3,0.0590516125523226,2.00161697205726
1991,4,-0.614197761953923,0.92439100863573
1992,2,0.785237778597998,0.187106549918234
1992,3,0.98422852398844,0.647358738882221
1992,4,1.35697735445609,0.704329232173728
1993,2,0.614506408399278,0.62485231307682
1993,3,0.958082324101314,0.540474101567905
1993,4,1.39615886240193,0.170540205477004
1994,2,0.81592204870005,0.377024329217121
1994,3,0.802252447956936,0.580175687700109
1994,4,1.01071086488628,0.276872574608962
1995,2,0.410246448815601,-0.379123556902464
1995,3,1.08468704859947,0.633964638040607
1995,4,0.764750016721966,-0.318813012755609
1996,2,1.15372191686682,1.26676865495787
1996,3,1.19480213698931,0.998988306031036
1996,4,1.29300461017003,0.447959719051171
1997,2,0.731696735618897,0.752050570564343
1997,3,0.789058046174703,0.651801657513403
1997,4,1.21837554964602,0.818358554449302
1998,2,1.7596716876842,-1.09855864365884
1998,3,1.75539270304109,-1.04341110207043
1998,4,0.840892820314487,-1.55007429514397
1999,2,-1.21314425165994,-2.0954972651278
1999,3,-1.31047893401339,-2.66067630572186
1999,4,-1.81610157369343,-2.2164505384
2000,2,-1.23483414403261,-1.55555609547499
2000,3,-0.930358192738645,-2.0799285136636
2000,4,-0.541492895254407,-1.28880347862791
2001,2,-0.41373047146138,-2.35930650229408
2001,3,-0.59942320791687,-2.17447898851688
2001,4,-1.00172767759972,-1.51068237723146
2002,2,-1.14096966601041,-1.54579058363919
2002,3,-0.949679048601531,-1.39355433564868
2002,4,-0.473951453849315,-0.0972518933474305
2003,2,1.29474869433531,-1.04568200458555
2003,3,1.13264505525947,-0.840915802795677
2003,4,0.447413520823078,-0.815531966130062
2004,2,-0.12548692806968,-0.400756850704056
2004,3,0.0759381398319358,-0.216581629834512
2004,4,0.289868533421985,-0.357557833602315
2005,2,0.332237222619824,0.69122130035693
2005,3,1.08228974130297,0.564040034420117
2005,4,0.607824756397914,0.23804849418676
2006,2,3.00845882740724e-05,-0.997022083440781
2006,3,-0.608804107106722,-0.691410208543137
2006,4,-0.853282735254336,-1.0005130696624
2007,2,-0.417113829639209,-0.964783068609639
2007,3,-0.844606753540693,-0.633601111943325
2007,4,-0.523736510304804,-1.0056290191284
2008,2,-1.83043404213783,-1.13088631194276
2008,3,-1.47601907094609,-1.30524508363114
2008,4,-1.85333060191049,-1.2624974045875
2009,2,-1.33063406131597,0.638245363182471
2009,3,-1.65590409265147,0.415854464122228
2009,4,-1.92298208216145,0.320057826236804
2010,2,0.521125840114766,-0.742300161440026
2010,3,0.172525819855202,-1.15399472729042
2010,4,-0.0423682890171604,-1.35691190127556
2011,2,-1.13427825354304,0.217033924067403
2011,3,-1.20814401262906,-0.116868617998866
2011,4,-1.17947627101319,-0.254286546566778
2012,2,-1.53119937921981,-0.178459299840374
2012,3,-1.81455556921599,-0.703398578589053
2012,4,-1.2112059480592,-0.954275096768281
2013,2,-1.58827215129758,-0.702697470428794
2013,3,-1.42377394716338,-0.539041081500739
2013,4,-0.726530942685317,0.17337914234027
2014,2,0.107510642942663,2.14069824141975
2014,3,0.812920199498671,1.35151778635007
2014,4,0.682010207835374,0.898319266610437
2015,2,2.04650380904824,1.48880253776284
2015,3,2.19247020136313,1.8767644429806
2015,4,1.69967736489052,1.4590540872971
2016,2,1.34510431643372,-1.22592694401657
2016,3,1.84821391583482,-1.33585252068551
2016,4,2.09727127876484,-0.969075020170382
2017,2,0.054621668952506,-1.04818453539845
2017,3,0.111489454441326,-0.273532405013923
2017,4,0.350314320422686,-0.524649446389925
2018,2,0.0123707231861749,0.730890216760604
2018,3,-0.337999825506701,0.623699699515639
2018,4,0.0101920507169052,1.05655181967862
2019,2,-0.146283908206057,0.034843145766248
2019,3,0.150042305374919,-0.30318868620704
2019,4,0.488908297246532,0.10997877218579
2020,2,-0.809687809370114,0.537669888325631
2020,3,-1.1057168676772,0.644658622097645
2020,4,-0.689733879024028,1.6597436249194
2021,2,-0.917853791330557,-0.154375185406035
2021,3,-1.31794983014003,-0.263021097012332
2021,4,-1.15533201777511,0.499943985248968
